,Country,Company Name,Summary,Founded,Industry,Sector,Headquarters,Notes
16,Canada,Angoss,"Angoss Software Corporation, headquartered in Toronto, Ontario, Canada, with offices in the United States and UK, is a provider of predictive analytics systems through software licensing and services. Angoss' customers represent industries including finance, insurance, mutual funds, retail, health sciences, telecom and technology.",1984,Technology,Software,Toronto,Analytic software
17,Canada,Apotex,Apotex Inc. is a Canadian pharmaceutical corporation.,1974,Health care,Pharmaceuticals,Toronto,Generic pharmaceuticals
18,Canada,Appnovation,"Appnovation is a global, full service digital consultancy firm with headquarters in Canada, specializing in web, intranet and mobile application development using open technologies  including Drupal and Alfresco, HTML5 frameworks like SproutCore and PhoneGap, as well as middleware, Big Data and business intelligence services using Mulesoft, Hadoop and MongoDB. Appnovation is one of five companies in Canada to achieve Platinum Partner status with Alfresco Software, Inc. and Enterprise Select Partner status with Acquia.",2007,Technology,Software,Vancouver,Software developer
19,Canada,Arc'teryx,"Arc'teryx (stylized ɅRC'TERYX) is a global design company based in North Vancouver, British Columbia, specializing in technical high-performance apparel, outerwear and equipment. 
The name and logo of Arc'teryx refer to the Archaeopteryx Lithographica, the first reptile to develop the feather for flight.",1989,Consumer services,Apparel retailers,North Vancouver,Outdoor apparel/equipment
20,Canada,Areva Resources Canada,"Orano Canada (formerly AREVA Resources Canada Inc.) is a uranium mining, milling, and exploration company headquartered in Saskatoon, Saskatchewan, Canada. Orano is a subsidiary of the Orano Group, an international nuclear energy company headquartered in Paris, France with 16,000 employees worldwide.",1964,Basic materials,General mining,Saskatoon,Uranium
21,Canada,Aritzia,"Aritzia Inc. is a Canadian women's fashion brand founded in Vancouver, British Columbia, by Brian Hill in 1984.",1984,Consumer goods,Clothing & accessories,Vancouver,Clothing
22,Canada,Army & Navy Stores,"A surplus store or military surplus store in the Commonwealth of Nations sells items that are used, or purchased but unused, and no longer needed. The surplus is often military, government or industrial excess often called army-navy stores or war surplus stores in the United States.",1919,Consumer services,Broadline retailer,Vancouver,Discount department stores
23,Canada,Arsenal Pulp Press,"Arsenal Pulp Press is a Canadian independent book publishing company, based in Vancouver, British Columbia. The company publishes a broad range of titles in both fiction and non-fiction, focusing primarily on underrepresented genres such as underground literature, LGBT literature, multiracial literature, graphic novels, visual arts, progressive and activist non-fiction and works in translation, and is noted for founding the annual Three-Day Novel Contest.",1971,Consumer services,Publishing,Vancouver,Book publisher
24,Canada,ATB Financial,"ATB Financial is a financial institution and Crown corporation wholly owned by the Province of Alberta. Originally established as Alberta Treasury Branches in 1938, ATB Financial operates primarily in Alberta and provides financial services to over 770,000 Alberta residents and businesses.",1938,Financials,Asset management,Edmonton,State financial services
25,Canada,ATI Technologies,"ATI Technologies Inc. (commonly called ATI, later known as Radeon Technologies Group) was a semiconductor technology corporation based in Markham, Ontario, Canada, that specialized in the development of graphics processing units and chipsets.",1985,Technology,Semiconductors,Markham,"Semiconductors, defunct 2006"
26,Canada,Atmosphere Visual Effects,"Atmosphere Visual Effects is a Canadian visual effects company. It was founded in Vancouver in 2003 by Andrew Karr, Tom Archer, and Jeremy Hoey, ex-employees of Vancouver-based visual effects company GVFX, after said company folded in that year.",2003,Consumer services,Broadcasting & entertainment,Vancouver,Movie special effects
27,Canada,Ballard Power Systems,"Ballard Power Systems Inc. is a developer and manufacturer of proton exchange membrane (PEM) fuel cell products for markets such as heavy-duty motive (consisting of bus and tram applications), portable power, material handling as well as engineering services.",1979,Industrials,Electrical components & equipment,Burnaby,Fuel cells
28,Canada,Banff Lodging Co,"Banff Lodging Company is  a locally owned and operated hospitality company in the Banff National Park.


== History ==
Banff Lodging Co was founded in 1985 by Wim Pauw when he acquired Caribou Corner, his first commercial mall.",1985,Consumer services,Hotels,Banff,Lodges
29,Canada,Bank of Montreal,"The Bank of Montreal (French: Banque de Montréal) is a Canadian multinational investment bank and financial services company. Founded in Montreal, Quebec, in 1817 as Montreal Bank, its head office remains in Montreal, with its operational headquarters and executive offices in Toronto, Ontario, since 1977.",1817,Financials,Banks,Montreal,Bank
30,Canada,Bard Ventures,Bard Ventures Ltd. (TSX-V: CBS) was a Canadian mining and exploration company headquartered in Vancouver.,1981,Basic materials,General mining,Vancouver,Molybdenum mining
31,Canada,Barrick Gold,"Barrick Gold Corporation is a mining company that produces gold and copper with 16 operating sites in 13 countries. It is headquartered in Toronto, Ontario, Canada.",1983,Basic materials,Gold mining,Toronto,Gold extraction
32,Canada,BBC Kids,"BBC Kids is a former Canadian specialty television channel. It was owned as a joint venture between Knowledge West Communications (which served as managing partner and owns a majority 80% interest), an entity of the Government of British Columbia as a crown corporation under Knowledge Network and BBC Studios (which owned the remaining 20%), the latter being a commercial division of the British Broadcasting Corporation.",2001,Consumer services,Broadcasting & entertainment,Burnaby,Children's television
33,Canada,BC Hydro,"The BC Hydro and Power Authority is a Canadian electric utility in the province of British Columbia, generally known simply as BC Hydro. It is the main electricity distributor, serving 1.8 million customers in most areas, with the exception of the City of New Westminster, where the city runs its own electrical department and the Kootenay region, where FortisBC, a subsidiary of Fortis Inc.",1961,Utilities,Alternative electricity,Vancouver,Hydro-electric
34,Canada,BC Research,"BC Research Inc. is a privately owned Canadian process technology incubator, specializing in custom research, process development and technology commercialization.",1944,Industrials,Business support services,Vancouver,"Research, defunct 2007"
35,Canada,Becker's,"Becker's is a Canadian chain of independent convenience stores selling products of Alimentation Couche-Tard company. The original Becker Milk Company was founded in 1957 in Toronto, Ontario.",1957,Consumer services,Specialty retailers,Toronto,Retail chains
36,Canada,Bell Canada,"Bell Canada (commonly referred to as Bell) is a Canadian telecommunications company headquartered at 1 Carrefour Alexander-Graham-Bell in Montreal, Quebec, Canada. It is an ILEC (incumbent local exchange carrier) in the provinces of Ontario and Quebec and as such, was a founding member of the Stentor Alliance.",1880,Telecommunications,Fixed line telecommunications,Montreal,"Telecom, part of BCE Inc."
37,Canada,Bell MTS,Bell MTS Inc. (formerly Manitoba Telecom Services) is a subsidiary of BCE Inc.,1905,Telecommunications,Fixed line telecommunications,Winnipeg,"Telecom, part of BCE Inc."
38,Canada,Ben Moss Jewellers,"Ben Moss founded Ben Moss Jewellers in Winnipeg, MB in 1910. His son-in-law Sidney Trepel took over the single store in 1962 upon the passing of Ben Moss.",1910,Consumer services,Specialty retailers,Winnipeg,Jewelry retailer
39,Canada,Bennett Environmental,"Bennett Environmental Inc. was a company based in Oakville, Ontario, Canada.",1991,Industrials,Waste & disposal services,Oakville,Defunct 2013
40,Canada,Big Blue Bubble,"Big Blue Bubble, Inc. is a Canadian developer, and publisher of mobile video games headquartered in London, Ontario, Canada, with an office in San Francisco, California.",2004,Technology,Software,London,"Software firm, mobile games"
41,Canada,BigPark,"Bigpark is a software development studio based in Vancouver, Canada. The studio is part of Microsoft's Office Media Group and works on a variety of media projects across Office, Windows, OneDrive and SharePoint.",2007,Technology,Software,Vancouver,"Software firm, part of Microsoft (US)"
42,Canada,Biovail,"Biovail Corporation was a Canadian pharmaceutical company, operating internationally in all aspects of pharmaceutical products.  Its major production facility was located in Steinbach, Manitoba.",1991,Health care,Pharmaceuticals,Mississauga,"Pharmaceutical, defunct 2010"
43,Canada,Bison Transport,"Bison Transport is based in Winnipeg, Manitoba, Canada. Bison Transport was incorporated in 1969 by owner Duncan M. Jessiman, who currently serves as Chairman and sole shareholder.",1969,Industrials,Delivery services,Winnipeg,Transportation and logistics
44,Canada,Black Diamond Cheese,"Black Diamond Cheese Limited is a cheese manufacturing company in Canada. Black Diamond employs approximately 470 people at its factory in Belleville, Ontario, and its products can be found at most major retailers in Canada.",1933,Consumer goods,Food products,Belleville,"Cheese, part of Parmalat (Italy)"
45,Canada,Black Hen Music,"Black Hen Music is a Canadian independent record label founded in Vancouver, British Columbia in 1995. The music label was established by record producer and musician Steve Dawson of the band Zubot and Dawson.",1995,Consumer services,Broadcasting & entertainment,Vancouver,Record label
46,Canada,Blacks Photo Corporation,"Blacks Photography, stylized as BLACKS (formerly Black's), is a Canadian online retailer of photo prints and personalized photo products, home decor items, and photofinishing services.  It is headquartered in Montreal, Quebec, Canada.",1930,Consumer services,Recreational services,Montreal,"Photo printing, now only online"
47,Canada,BlackBerry Limited,"BlackBerry Limited is a Canadian multinational company specialising in enterprise software and the Internet of things. Originally known as Research In Motion (RIM), it developed the BlackBerry brand of smartphones and tablets.",1984,Technology,Telecommunications equipment,Waterloo,Wireless devices
48,Canada,Blackburn Radio,"Blackburn Radio, Inc. is a Canadian radio broadcasting group, which owns several radio stations in Southwestern Ontario.",1968[13],Consumer services,Broadcasting & entertainment,London,Radio
49,Canada,"Blake, Cassels & Graydon","Blake, Cassels & Graydon LLP (Blakes) is an international corporate law firm with offices in Montreal, Ottawa, Toronto, Calgary, Vancouver, New York City, and London.
It has the strongest law firm brand in Canada according to the 2019 Acritas survey.It is a charter member in Lex Mundi, a referral network of independent law firms.",1856,Industrials,Business support services,Toronto,Law firm
50,Canada,Bleeding Art Industries,"Bleeding Art Industries is an entertainment production company focused on creative content production, special effects, custom fabrication, product sales, and equipment rentals. It is based out of Calgary, Canada.",2002,Consumer services,Broadcasting & entertainment,Calgary,Special effects
51,Canada,Blenz Coffee,Blenz Coffee (a.k.a. Blenz The Canadian Coffee Company) is a Canadian franchise chain of coffee shops.,1992,Consumer services,Restaurants & bars,Vancouver,Coffee chain
52,Canada,Blue Giant Equipment Corporation,"Blue Giant Equipment Corporation is a loading dock equipment manufacturer with corporate headquarters in Toronto, Ontario, Canada.


== History ==
Blue Giant Equipment Corporation was founded in 1963 and initially specialized in the manufacture of dock levellers and hand pallet trucks.",1963,Industrials,Industrial machinery,Toronto,Loading dock equipment
53,Canada,Bluenotes,"Thrifty's Inc. (doing business as Bluenotes) is a Canadian ""lifestyle"" clothing brand.",1984,Consumer goods,Clothing & accessories,Toronto,Clothing brand
54,Canada,Boeing Canada,"Boeing Canada is the Canadian subsidiary of Boeing, with operations in Winnipeg, MB, Richmond, BC, Montreal, QC and Ottawa, ON. Boeing employs more than 1,600 people in Canada. Boeing Aircraft of Canada Limited was formed in 1929 by the American Boeing Airplane Company.In October 2008, Boeing Canada was named one of ""Canada's Top 100 Employers"" by Mediacorp Canada Inc., and was featured in Maclean's newsmagazine.",1934,Industrials,Aerospace,Winnipeg,"Aircraft, part of Boeing (US)"
55,Canada,Bombardier Inc.,Bombardier Inc. (French pronunciation: ​[bɔ̃baʁdje]) is a Canadian multinational manufacturer of business jets and rail.,1942,Industrials,Aerospace,Montreal,Aircraft
56,Canada,Bombardier Recreational Products,"BRP (legally incorporated as Bombardier Recreational Products Inc.) is a Canadian company that manufactures recreational vehicles. It was founded in 2003, when the Recreational Products Division of Bombardier Inc.",1942,Consumer goods,Recreational products,Valcourt,Spun off as an independent company in 2003
57,Canada,Boston Pizza,"Boston Pizza (BP), also known as Boston's The Gourmet Pizza Restaurant and Sports Bar, is a Canadian multinational restaurant chain that owns and franchises locations in Canada, the United States and Mexico.


== History ==

Boston Pizza began in Edmonton, Alberta, on August 12, 1964, when a Greek immigrant, Gus Agioritis, opened Boston Pizza and Spaghetti House.",1964,Consumer services,Restaurants & bars,Richmond,Pizza chain
58,Canada,Boutique La Vie en Rose,"Boutique La Vie en Rose Inc. is a Canadian lingerie retailer headquartered in Montreal, Quebec.",1984,Consumer services,Apparel retailers,Montreal,Lingerie retailer
59,Canada,Bowring Brothers,"Bowring Brothers Ltd. (or simply Bowring) was a Canadian operator of retail stores, mostly focused on gifts and home decor, throughout Canada.",1811,Consumer services,Broadline retailers,St. John's,General retail stores
60,Canada,Bre-X,"Bre-X was a group of companies in Canada. Bre-X Minerals Ltd., a major part of Bre-X based in Calgary, was involved in a major gold mining scandal when it reported it was sitting on an enormous gold deposit at Busang, Indonesia (in Borneo).",1989,Basic materials,Gold mining,Calgary,Completely collapsed in 1997
61,Canada,Brick Brewing Company,"Waterloo Brewing Company, formerly the Brick Brewing Company, is a brewery based in Kitchener, Ontario, Canada, with several divisions. Waterloo is reportedly the largest Canadian-owned brewer in the province, and it was also Ontario's first modern craft brewery.Waterloo's most successful brand is the Laker series.",1984,Consumer goods,Brewers,Waterloo,Brewery
62,Canada,Brightlight Pictures,"Brightlight Pictures Inc. is a Canadian film production and television production company based in Vancouver, British Columbia, Canada.",2001,Consumer services,Broadcasting & entertainment,Vancouver,Production company
63,Canada,BrightSide Technologies,"BrightSide Technologies Inc. (formerly Sunnybrook Technologies) was a firm spun-out from the Structured Surface Physics Laboratory of the University of British Columbia, developing and commercializing electronic display technologies, specifically high brightness display technology called HDR. The privately held company also developed technology for capturing, processing, and storage of HDR images.",2004,Consumer goods,Consumer electronics,Vancouver,"Display technology, merged into Dolby Laboratories"
64,Canada,Brookfield Asset Management,"Brookfield Asset Management Inc. is an alternative asset management company focusing on real estate, renewable power, infrastructure and private equity.",1899,Financials,Asset managers,Toronto,Asset management firm
65,Canada,Bruce Power,"Bruce Power Limited Partnership is a Canadian business partnership composed of several corporations. It exists (as of 2015) as a partnership between TC Energy (31.6%), BPC Generation Infrastructure Trust (61.4%), the Power Workers Union (4%) and The Society of United Professionals (1.2%).",2001,Utilities,Conventional electricity,Tiverton,Nuclear power
66,Canada,Buckley's,W. K. Buckley Limited is a corporation operating in Canada that manufactures medicines for health problems such as the common cold. They also have children's medicine which are sold under the brand Jack & Jill.,1919,Health care,Pharmaceuticals,Mississauga,Medicine
67,Canada,Buhler Industries,"Buhler Industries Inc. was established in 1969 when John Buhler purchased ""Standard Gas Engine Works"", which was founded in 1932.",1969,Industrials,Commercial vehicles & trucks,Winnipeg,Farm vehicles and equipment
68,Canada,Bullfrog Power,"Bullfrog Power, a Spark Power company, is a Canadian green energy retailer operating in Canada. Bullfrog offers green electricity from renewable energy sources such as wind and low-impact hydro, as well as green fuel and green natural gas, a renewable biogas product that serves as an alternative to fossil fuel-based natural gas.",2005,Utilities,Alternative electricity,Toronto,Low-carbon electricity
69,Canada,Cactus Club Cafe,"Cactus Club Cafe is a Canadian-owned chain of premium casual restaurants that originated in North Vancouver, British Columbia. The chain has since expanded to 31 locations throughout Canada, with other locations throughout British Columbia, Alberta, Saskatchewan, and Ontario.",1988,Consumer services,Restaurants & bars,North Vancouver,Restaurant chain
70,Canada,Cadillac Fairview,"Cadillac Fairview Corporation Limited is a Canadian company that invests in, owns, and manages commercial real estate, mainly in Canada and the United States.  As of March 2017, the company had 73 properties, encompassing 38 million square feet, worth over $29 billion.",1974,Financials,Real estate holding & development,Toronto,Property development and management
71,Canada,Calm Air,"Calm Air International LP. is a full service airline, offering passenger, charter and freight services in northern Manitoba and the Kivalliq Region of Nunavut. It is owned by Exchange Income Corporation with its main base in Winnipeg, Manitoba.",1962,Consumer services,Airlines,Winnipeg,Airline
72,Canada,Cameco,"Cameco Corporation is the world's largest publicly traded uranium company, based in Saskatoon, Saskatchewan.  In 2015, it was the world's second largest uranium producer, accounting for 18% of world production.",1988,Basic materials,General mining,Saskatoon,Uranium
73,Canada,Canada Deposit Insurance Corporation,"The Canada Deposit Insurance Corporation (CDIC; French: Société d'assurance-dépôts du Canada) is a Canadian federal Crown Corporation created by Parliament in 1967 to provide deposit insurance to depositors in Canadian commercial banks and savings institutions. CDIC insures Canadians' deposits held at Canadian banks (and other member institutions) up to C$100,000 in case of a bank failure.",1967,Financials,Specialty finance,Ottawa,Government-owned bank account insurance company
74,Canada,Canada Wide Media,"Canada Wide Media Limited is an independently owned publishing company in Western Canada, based in Burnaby, British Columbia.


== History ==
Canada Wide Media Limited co-founder and CEO Peter Legge purchased a ten-cent magazine in 1976 and grew it into one of Canada's most successful print and digital media companies.",1976,Consumer services,Publishing,Burnaby,Publisher
75,Canada,Canadian Bank Note Company,The Canadian Bank Note Company (CBNC) is a Canadian security printing company. It is best known for holding the contract with the Bank of Canada to supply it with Canada's banknotes since 1935.,1897,Industrials,Business support services,Ottawa,Money and passport printing
76,Canada,Canadian Broadcasting Corporation (CBC),"CBC News is the division of the Canadian Broadcasting Corporation responsible for the news gathering and production of news programs on the corporation's English-language operations, namely CBC Television, CBC Radio, CBC News Network, and CBC.ca. Founded in 1941, CBC News is the largest news broadcaster in Canada and has local, regional and national broadcasts and stations.",1936,Consumer services,Broadcasting & entertainment,Ottawa,Government-owned Canadian TV and radio broadcaster
77,Canada,Canadian Hydro Developers,"Canadian Hydro Developers, Inc. was a Canadian company that operated 12 hydroelectric power sites, eight wind power sites and one biomass power site in Canada.",1989,Utilities,Alternative electricity,Calgary,"Hydro power generation, defunct 2009"
78,Canada,Canadian Imperial Bank of Commerce (CIBC),"The Canadian Imperial Bank of Commerce (CIBC; French: Banque Canadienne Impériale de Commerce), is one of the ""Big Five"" banks in Canada. The bank is headquartered at Commerce Court in Toronto, Ontario.",1961,Financials,Banks,Toronto,Banking
79,Canada,Canadian Light Source,"The Canadian Light Source (CLS) (French: Centre canadien de rayonnement synchrotron – CCRS) is Canada's national synchrotron light source facility, located on the grounds of the University of Saskatchewan in Saskatoon, Saskatchewan, Canada. The CLS has a third-generation 2.9 GeV storage ring, and the building occupies a footprint the size of a football field.",1999,Industrials,Business support services,Saskatoon,Research
80,Canada,Canadian National Railway,"The Canadian National Railway (French: Canadien National) (reporting mark CN) is a Canadian Class I freight railway headquartered in Montreal, Quebec, that serves Canada and the Midwestern and Southern United States.
CN is Canada's largest railway, in terms of both revenue and the physical size of its rail network, spanning Canada from the Atlantic coast in Nova Scotia to the Pacific coast in British Columbia across about 20,400 route miles (32,831 km) of track.",1918,Industrials,Railroads,Montreal,Railway
81,Canada,Canadian Natural Resources,"Canadian Natural Resources Limited, or CNRL or Canadian Natural is a company engaged in hydrocarbon exploration primarily in Western Canada, the United Kingdom sector of the North Sea, and offshore Côte d'Ivoire and Gabon. The company is headquartered in Calgary, Alberta.The company has the largest undeveloped base in the Western Canadian Sedimentary Basin.",1973,Oil & gas,Exploration & production,Calgary,Oil and gas development and production
82,Canada,Canadian Oil Sands,"Oil sands, tar sands, crude bitumen, or more technically bituminous sands, are a type of unconventional petroleum deposit. Oil sands are either loose sands or partially consolidated sandstone containing a naturally occurring mixture of sand, clay, and water, soaked with a dense and extremely viscous form of petroleum technically referred to as bitumen.",1978,Oil & gas,Exploration & production,Calgary,"Oil production, part of Suncor Energy"
83,Canada,Canadian Pacific Railway Limited,"The Canadian Pacific Railway (CPR) (reporting marks CP, CPAA, MILW, SOO), known as CP Rail between 1968 and 1996 and simply Canadian Pacific, is a historic Canadian Class I railway incorporated in 1881. The railway is owned by Canadian Pacific Railway Limited, which began operations as legal owner in a corporate restructuring in 2001.Headquartered in Calgary, Alberta, it owns approximately 20,100 kilometres (12,500 mi) of track in six provinces of Canada and into the United States, stretching from Montreal to Vancouver, and as far north as Edmonton.",1881,Industrials,Railroads,Calgary,Railway
84,Canada,Canadian Plasma Resources,"Canadian Plasma Resources (CPR) is a private, for-profit bio-pharmaceutical company based in Saskatoon, Saskatchewan, Canada. It was founded in 2012 and specializes in the collection of source plasma for further manufacturing and contract-manufacturing of plasma-based bio-pharmaceuticals with operations in Saskatoon, Saskatchewan, Moncton, New Brunswick and offices in Oakville, Ontario.",2012,Health care,Biotechnology,Saskatoon,Bio-pharmaceutical
85,Canada,Canadian Steamship Lines,"Canada Steamship Lines (CSL) is a shipping company with headquarters in Montreal, Quebec, Canada. The business has been operating for well over a century and a half.",1845,Industrials,Marine transportation,Montreal,Cargo shipping
86,Canada,Canadian Tire,"Canadian Tire Corporation Limited is a Canadian retail company which operates in the automotive, hardware, sports, leisure and housewares sectors. Its Canadian operations include: Canadian Tire (including Canadian Tire Petroleum gas stations and financial services subsidiary Canadian Tire Bank), Mark's, FGL Sports (including Sport Chek and Sports Experts), PartSource, and the Canadian operations of Party City.",1922,Consumer goods,Tires,Toronto,Retail
87,Canada,Canadian Tire Bank,"Canadian Tire Corporation Limited is a Canadian retail company which operates in the automotive, hardware, sports, leisure and housewares sectors. Its Canadian operations include: Canadian Tire (including Canadian Tire Petroleum gas stations and financial services subsidiary Canadian Tire Bank), Mark's, FGL Sports (including Sport Chek and Sports Experts), PartSource, and the Canadian operations of Party City.",2003,Financials,Consumer financing,Oakville,"Credit card company, part of Canadian Tire"
88,Canada,Canadian Western Bank,"Canadian Western Bank (CWB; French: Banque canadienne de l'Ouest), also operating as CWB Financial Group, is a Canadian bank based in Edmonton, Alberta. The bank serves clients both in Western Canada and in other provinces.",1988,Financials,Banks,Edmonton,Banking
89,Canada,Canadian Wheat Board,"The Canadian Wheat Board (French: Commission canadienne du blé) was a marketing board for wheat and barley in Western Canada. Established by the Parliament of Canada on 5 July 1935, its operation was governed by the Canadian Wheat Board Act as a mandatory producer marketing system for wheat and barley in Alberta, Saskatchewan, Manitoba, and a small part of British Columbia.",1935,Consumer goods,Farming & fishing,Winnipeg,"Agri-business, defunct 2015"
90,Canada,Canalta Hotels,"Canalta Hotels is a hotel chain in western Canada with 44 hotels in Alberta, Saskatchewan and Manitoba.  The family owned company is based out of Drumheller and primarily targets smaller towns in Western Canada catering to sports teams, weddings, meetings and work crews.In addition to operating hotels under the Canalta hotel brand the company also owns two Hampton Inn & Suites and one Best Western Plus.",1979,Consumer services,Hotels,Drumheller,Hotel chain in Western Canada
91,Canada,Candente Copper,"Candente Copper Corp. is a Canadian mining company specialising in metals such as gold, silver, copper and zinc.",1997,Basic materials,Nonferrous metals,Vancouver,Copper mining
92,Canada,Cangene Corp.,"Cangene Corporation was a biopharmaceutical company based in Winnipeg, Manitoba, Canada. It was founded in 1984 and specialized in hyperimmunes, contract manufacturing, biopharmaceuticals and biodefense.",1984,Health care,Biotechnology,Winnipeg,"Biotech, defunct 2014"
93,Canada,CanJet,"CanJet was a Canadian low-cost air carrier headquartered in Enfield, Nova Scotia and based at Halifax International Airport. In addition to initially flying scheduled passenger service, CanJet operated charter flights using its own brand as well as flying contract and ad hoc charters for other tour operators and airlines throughout Canada and the United States.",2002,Consumer services,Airlines,Enfield,"Low-cost airline, defunct 2015"
94,Canada,Canpotex,"Canpotex, short for Canadian Potash Exporters (reporting mark PTEX), is a Canadian potash exporting and marketing firm, incorporated in 1970 and operating since 1972. Based in Saskatchewan, Canpotex manages the entire Saskatchewan potash exporting industry (excluding Canadian and US sales), including transportation and delivery.Canpotex is the world's largest exporter of potash, selling over 10 million tonnes of potash every year, representing about one-third of global capacity.",1970,Basic materials,General mining,Saskatoon,Potash export
95,Canada,Canwest,"Canwest Global Communications Corporation, which operated under the corporate name Canwest, was a major Canadian media conglomerate based in Winnipeg, Manitoba, with its head offices at Canwest Place.  It held radio, television broadcasting and publishing assets in several countries, primarily in Canada.",1974,Consumer services,Broadcasting & entertainment,Winnipeg,"Broadcaster, defunct 2010"
96,Canada,Capcom Vancouver,"Capcom Game Studio Vancouver, Inc. (formerly Blue Castle Games), more commonly known as Capcom Vancouver, was a video game developer owned by Capcom in partnership with Microsoft Studios.",2005,Technology,Software,Burnaby,"Game developer, part of Capcom (Japan)"
97,Canada,Cargill Ltd.,"Cargill Limited, also known as Cargill Canada, is the Canadian subsidiary of the Minneapolis-based multinational agribusiness giant Cargill. Depending on the source, it employs approximately 8,000 or 4,000 people across Canada.",1928,Consumer goods,Farming & fishing,Winnipeg,"Agriculture, part of Cargill (US)"
98,Canada,Casavant Frères,"Casavant Frères is a Canadian organ building company in Saint-Hyacinthe, Quebec, which has been building pipe organs since 1879. As of 2014, the company has produced more than 3,900 organs.",1879,Consumer goods,Recreational products,Saint-Hyacinthe,Organs
99,Canada,Catalyst Paper,"Catalyst Paper Corporation is a pulp and paper company based in  Richmond, British Columbia. It operates five pulp mills and paper mills, producing a combined 1.8 million tonnes of paper and 491,000 tonnes of market pulp annually.",2000,Basic materials,Paper,Richmond,Pulp and paper
100,Canada,Celestica,"Celestica Inc. is a Canadian multinational electronics manufacturing services (EMS) company headquartered in Toronto, Ontario.",1994,Industrials,Electronic equipment,Toronto,Electronics
